ACCIDENT_YEAR,ACCIDENT_MONTH,ACCIDENT_DAY,ACCIDENT_HOUR,ACCIDENT_WEEKDAY,ACCIDENTLOCATION,IMPACTLOCATION,INITIALIMPACTTYPE,LIGHT,ROADJURISDICTION,TRAFFICCONTROL,TRAFFICCONTROLCONDITION,THRULANENO,NORTHBOUNDDISOBEYCOUNT,SOUTHBOUNDDISOBEYCOUNT,PEDESTRIANINVOLVED,CYCLISTINVOLVED,MOTORCYCLISTINVOLVED,ENVIRONMENTCONDITION1,injury
2015,1,1,0,Thursday,Intersection related,Off highway,SMV other,"Daylight, artificial",Municipal (excl. Twp. Rd.),Stop sign,Functioning,0,0,0,False,False,False,Clear,0
2015,1,1,8,Thursday,At/near private drive,Thru lane,SMV unattended vehicle,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,0
2015,1,1,17,Thursday,Other,Not on roadway - left side,SMV other,"Daylight, artificial",Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,0
2015,1,2,22,Friday,At intersection,Within intersection,SMV other,"Dark, artificial",Municipal (excl. Twp. Rd.),Stop sign,Functioning,0,0,0,False,False,False,Clear,0
2015,1,3,9,Saturday,Non intersection,Not on roadway - right side,SMV other,Daylight,Regional municipality,No control,unknown,0,0,0,False,False,False,Clear,0
2015,1,3,22,Saturday,Non intersection,Not on roadway - right side,SMV other,Dark,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Rain,1
2015,1,4,1,Sunday,Intersection related,Right shoulder,SMV other,"Dark, artificial",Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Freezing Rain,0
2015,1,5,8,Monday,At intersection,Thru lane,SMV other,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,True,False,False,Snow,1
2015,1,5,8,Monday,At/near private drive,Thru lane,Turning movement,Daylight,Regional municipality,No control,unknown,0,0,0,False,False,False,Drifting Snow,0
2015,1,5,9,Monday,Non intersection,Thru lane,Approaching,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Strong wind,0
